date,fixtureType,cargoSize,voyageType,shipName,buildYear,dwt,freeText,loadPort,dischargePort,rateAndTerms,charterer,comment,fixtureString,freight,VESSEL TYPE
2025-12-23,VOYAGE: GRAIN,66000/10,grain,Refined Success TBN,0,80000,1/28 Feb,US Gulf,China,$46.00 fio 10000sshinc/8000sshinc,ADMI,,'Refined Success TBN' 66000/10 US Gulf/China 1/28 Feb $46.00 fio 10000sshinc/8000sshinc - ADMI,46.0,PMX
2026-01-08,VOYAGE: GRAIN,66000/10,grain,Reachy TBN,0,0,1/31 Mar,Santos,China,$35.00 fio 8000sshex/8000sshex,cnr,,'Reachy TBN' 66000/10 Santos/China 1/31 Mar $35.00 fio 8000sshex/8000sshex - cnr,35.0,SMX/UMX/HANDY
2026-01-08,VOYAGE: GRAIN,66000/10,grain,Reachy TBN,0,0,1/28 Feb,EC South America,China,$31.00 fio 80000sshex/8000sshex,CHS,,'Reachy TBN' 66000/10 EC South America/China 1/28 Feb $31.00 fio 80000sshex/8000sshex - CHS,31.0,SMX/UMX/HANDY
2026-01-13,VOYAGE: GRAIN,65000/10,grain,TBN,0,180000,1/15 Feb,Up River Necochea or Bahia Blanca,Koh Sichang,$34.75 fio 8000sshex/15000shinc,Aditya Birla Global Trading,,'TBN' 65000/10 Up River Necochea or Bahia Blanca/Koh Sichang 1/15 Feb $34.75 fio 8000sshex/15000shinc - Aditya Birla Global Trading,34.75,CAPE/VLOC
